Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Area Count,Crop Flow(bu/h),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Moisture(%),Speed(mph),Swath Width(ft),Yield (Dry)(bu/ac),Yield (Wet)(bu/ac),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),geometry,MUSYM
-86.18086132,40.98947558,AULT,GOTT,EAST93,On,277.14,4.311,11/13/2011,Yes,819.78,25.8,1.673,20.0,60.0,68.32,3359.7,3826.1,POINT (-86.18086132 40.98947558),CrA
-86.18085243,40.98948089,AULT,GOTT,EAST93,On,296.56,4.613,11/13/2011,Yes,820.66,26.5,1.977,20.0,53.81,61.86,3013.4,3464.4,POINT (-86.18085243 40.98948089),CrA
-86.18084847,40.98948475,AULT,GOTT,EAST93,On,203.77,3.17,11/13/2011,Yes,820.78,26.7,1.734,20.0,42.06,48.49,2355.3,2715.2,POINT (-86.18084847 40.98948475),CrA
-86.18084285,40.98949098,AULT,GOTT,EAST93,On,151.12,2.351,11/13/2011,Yes,820.72,26.9,1.642,20.0,32.84,37.97,1839.2,2126.0,POINT (-86.18084285 40.98949098),CrA
-86.18083441,40.98949903,AULT,GOTT,EAST93,On,677.28,10.54,11/13/2011,Yes,820.71,27.1,2.13,20.0,113.18,131.19,6338.1,7346.7,POINT (-86.18083441 40.98949903),CrA
-86.18082739,40.98950681,AULT,GOTT,EAST93,On,908.94,14.14,11/13/2011,Yes,820.79,27.2,2.615,20.0,123.53,143.38,6917.6,8029.3,POINT (-86.18082739 40.98950681),CrA
-86.18081927,40.98951597,AULT,GOTT,EAST93,On,817.39,12.71,11/13/2011,Yes,820.8,24.5,2.402,20.0,125.4,140.35,7022.2,7859.3,POINT (-86.18081927 40.98951597),CrA
-86.18081104,40.98952517,AULT,GOTT,EAST93,On,915.85,14.25,11/13/2011,Yes,820.75,22.7,2.615,20.0,132.16,144.47,7401.0,8090.4,POINT (-86.18081104 40.98952517),CrA
-86.18080278,40.98953421,AULT,GOTT,EAST93,On,474.47,7.381,11/13/2011,Yes,820.76,23.2,2.494,20.0,71.32,78.47,3994.0,4394.4,POINT (-86.18080278 40.98953421),CrA
-86.18079579,40.98954136,AULT,GOTT,EAST93,On,215.07,3.345,11/13/2011,Yes,820.72,22.7,2.25,20.0,36.06,39.42,2019.6,2207.7,POINT (-86.18079579 40.98954136),CrA
-86.18084405,40.98948572,AULT,GOTT,EAST93,On,92.11,1.433,11/13/2011,Yes,820.31,22.9,2.007,20.0,17.28,18.94,967.58,1060.4,POINT (-86.18084405 40.98948572),CrA
-86.18084773,40.98949789,AULT,GOTT,EAST93,On,498.1,7.748,11/13/2011,Yes,820.43,23.9,3.071,20.0,60.25,66.9,3373.9,3746.3,POINT (-86.18084773 40.98949789),CrA
-86.18085225,40.98950871,AULT,GOTT,EAST93,On,432.63,6.73,11/13/2011,Yes,820.52,24.6,3.223,20.0,49.4,55.36,2766.4,3100.3,POINT (-86.18085225 40.98950871),CrA
-86.18085817,40.98952159,AULT,GOTT,EAST93,On,660.99,10.28,11/13/2011,Yes,820.46,24.8,3.103,20.0,78.21,87.88,4379.6,4921.3,POINT (-86.18085817 40.98952159),CrA
-86.18086471,40.98953505,AULT,GOTT,EAST93,On,428.69,6.669,11/13/2011,Yes,820.43,22.4,3.255,20.0,49.9,54.33,2794.1,3042.6,POINT (-86.18086471 40.98953505),CrA
-86.18086799,40.98954129,AULT,GOTT,EAST93,On,139.16,2.165,11/13/2011,Yes,820.69,22.4,2.13,20.0,24.75,26.96,1386.2,1509.5,POINT (-86.18086799 40.98954129),CrA
-86.18086394,40.98953404,AULT,GOTT,EAST93,On,35.77,0.556,11/13/2011,Yes,820.74,22.7,0.942,20.0,14.33,15.67,802.7,877.46,POINT (-86.18086394 40.98953404),CrA
-86.1808733,40.98952138,AULT,GOTT,EAST93,On,98.2,1.528,11/13/2011,Yes,819.14,23.5,2.311,20.0,15.87,17.53,888.77,981.71,POINT (-86.1808733 40.98952138),CrA
-86.18088076,40.98953235,AULT,GOTT,EAST93,On,456.7,7.104,11/13/2011,Yes,819.08,24.1,2.827,20.0,59.85,66.63,3351.4,3731.2,POINT (-86.18088076 40.98953235),CrA
-86.18088867,40.98954269,AULT,GOTT,EAST93,On,521.83,8.117,11/13/2011,Yes,819.78,24.7,2.859,20.0,67.1,75.3,3757.5,4216.6,POINT (-86.18088867 40.98954269),CrA
-86.18089622,40.98955301,AULT,GOTT,EAST93,On,315.73,4.911,11/13/2011,Yes,819.81,24.2,2.827,20.0,41.32,46.06,2313.9,2579.4,POINT (-86.18089622 40.98955301),CrA
-86.18089942,40.98955714,AULT,GOTT,EAST93,On,149.12,2.32,11/13/2011,Yes,819.99,23.8,2.402,20.0,23.09,25.6,1293.0,1433.8,POINT (-86.18089942 40.98955714),CrA
-86.18085466,40.98953004,AULT,GOTT,EAST93,On,342.15,5.322,11/13/2011,Yes,821.61,25.8,2.951,20.0,42.0,47.83,2352.2,2678.7,POINT (-86.18085466 40.98953004),CrA
-86.18085262,40.98954284,AULT,GOTT,EAST93,On,388.07,6.037,11/13/2011,Yes,821.41,26.4,2.919,20.0,47.76,54.84,2674.8,3070.9,POINT (-86.18085262 40.98954284),CrA
-86.18085134,40.9895556,AULT,GOTT,EAST93,On,329.92,5.132,11/13/2011,Yes,821.35,26.5,2.919,20.0,40.55,46.62,2270.8,2610.7,POINT (-86.18085134 40.9895556),CrA
-86.18085153,40.98956711,AULT,GOTT,EAST93,On,1529.6,23.79,11/13/2011,Yes,821.6,26.0,2.827,20.0,195.42,223.15,10943.0,12496.0,POINT (-86.18085153 40.98956711),CrA
-86.18085251,40.9895785,AULT,GOTT,EAST93,On,1506.3,23.43,11/13/2011,Yes,821.69,25.2,2.827,20.0,194.53,219.76,10894.0,12306.0,POINT (-86.18085251 40.9895785),CrA
-86.18085232,40.98958755,AULT,GOTT,EAST93,On,1054.3,16.4,11/13/2011,Yes,821.71,24.8,2.282,20.0,169.63,190.61,9499.2,10674.0,POINT (-86.18085232 40.98958755),CrA
-86.18085212,40.98959747,AULT,GOTT,EAST93,On,934.63,14.54,11/13/2011,Yes,821.72,25.7,2.311,20.0,146.7,166.84,8215.4,9343.2,POINT (-86.18085212 40.98959747),CrA
-86.18085146,40.98960838,AULT,GOTT,EAST93,On,472.46,7.349,11/13/2011,Yes,821.74,24.9,2.615,20.0,66.24,74.53,3709.3,4173.6,POINT (-86.18085146 40.98960838),CrA
-86.18085824,40.98959465,AULT,GOTT,EAST93,On,91.39,1.422,11/13/2011,Yes,821.77,24.7,2.798,20.0,12.0,13.47,672.27,754.4,POINT (-86.18085824 40.98959465),CrA
-86.18086085,40.98960475,AULT,GOTT,EAST93,On,346.92,5.396,11/13/2011,Yes,821.73,25.2,2.463,20.0,51.43,58.1,2880.3,3253.8,POINT (-86.18086085 40.98960475),CrA
-86.18086162,40.98960777,AULT,GOTT,EAST93,On,640.04,9.956,11/13/2011,Yes,821.73,26.2,1.156,20.0,199.38,228.29,11165.0,12784.0,POINT (-86.18086162 40.98960777),CrA
-86.18086341,40.98961326,AULT,GOTT,EAST93,On,631.45,9.822,11/13/2011,Yes,821.68,27.1,0.913,20.0,246.22,285.4,13788.0,15982.0,POINT (-86.18086341 40.98961326),CrA
-86.18086538,40.98962087,AULT,GOTT,EAST93,On,273.33,4.252,11/13/2011,Yes,821.76,26.9,1.825,20.0,53.44,61.77,2992.4,3459.1,POINT (-86.18086538 40.98962087),CrA
-86.18086726,40.98962685,AULT,GOTT,EAST93,On,185.88,2.891,11/13/2011,Yes,821.77,25.5,1.673,20.0,40.4,45.83,2262.5,2566.2,POINT (-86.18086726 40.98962685),CrA
-86.18083442,40.98955822,AULT,GOTT,EAST93,On,245.43,3.818,11/13/2011,Yes,821.69,26.5,3.619,20.0,24.33,27.97,1362.5,1566.4,POINT (-86.18083442 40.98955822),CrA
-86.18082466,40.98956979,AULT,GOTT,EAST93,On,409.95,6.377,11/13/2011,Yes,821.56,27.2,3.559,20.0,40.94,47.52,2292.4,2660.8,POINT (-86.18082466 40.98956979),CrA
-86.18081527,40.98958201,AULT,GOTT,EAST93,On,594.67,9.25,11/13/2011,Yes,821.66,27.7,3.496,20.0,60.03,70.16,3361.7,3929.0,POINT (-86.18081527 40.98958201),CrA
-86.18080357,40.98959491,AULT,GOTT,EAST93,On,1074.2,16.71,11/13/2011,Yes,821.75,28.0,3.588,20.0,105.23,123.5,5892.8,6915.9,POINT (-86.18080357 40.98959491),CrA
-86.18079099,40.98960748,AULT,GOTT,EAST93,On,805.5,12.53,11/13/2011,Yes,822.07,26.7,3.559,20.0,80.99,93.36,4535.3,5228.3,POINT (-86.18079099 40.98960748),CrA
-86.18078266,40.98961594,AULT,GOTT,EAST93,On,435.16,6.769,11/13/2011,Yes,821.99,23.6,2.767,20.0,58.65,64.87,3284.5,3632.8,POINT (-86.18078266 40.98961594),CrA
-86.18081495,40.98954819,AULT,GOTT,EAST93,On,346.98,5.397,11/13/2011,Yes,821.79,25.7,5.14,20.0,24.48,27.84,1371.0,1559.2,POINT (-86.18081495 40.98954819),CrA
-86.18079328,40.98955885,AULT,GOTT,EAST93,On,550.65,8.566,11/13/2011,Yes,822.07,26.1,4.988,20.0,39.82,45.53,2230.1,2549.9,POINT (-86.18079328 40.98955885),CrA
-86.18077585,40.98956876,AULT,GOTT,EAST93,On,550.65,8.566,11/13/2011,Yes,822.19,26.1,4.105,20.0,48.39,55.34,2710.1,3098.8,POINT (-86.18077585 40.98956876),CrA
-86.1807557,40.98957991,AULT,GOTT,EAST93,On,971.83,15.12,11/13/2011,Yes,822.13,26.2,4.228,20.0,82.81,94.82,4637.5,5309.9,POINT (-86.1807557 40.98957991),CrA
